Step,Prey,Predator
0,91,20
1,109,16
2,122,1
3,134,1
4,147,1
5,170,0
6,198,0
7,237,0
8,272,0
9,311,0
10,361,0
11,411,0
12,478,0
13,548,0
14,632,0
15,721,0
16,828,0
17,967,0
18,1120,0
19,1277,0
20,1471,0
21,1675,0
22,1906,0
23,2181,0
24,2471,0
25,2825,0
26,3252,0
27,3752,0
28,4319,0
29,4936,0
30,5665,0
31,6523,0
32,7438,0
33,8552,0
34,9798,0
35,11224,0
36,12863,0
37,14742,0
38,16947,0
39,19538,0
40,22462,0
41,25971,0
42,29975,0
43,34474,0
44,39699,0
45,45602,0
46,52537,0
47,60416,0
48,69578,0
49,79982,0
50,91954,0
51,105732,0
52,121578,0
53,139597,0
54,160685,0
55,184480,0
56,212342,0
57,244197,0
58,280720,0
59,322962,0
60,371569,0
61,426653,0
62,490734,0
63,564073,0
64,648559,0
65,745875,0
66,857720,0
67,985673,0
68,1134076,0
69,1303745,0
70,1498713,0
71,1723156,0
72,1981183,0
73,2278711,0
74,2621053,0
75,3014449,0
76,3466383,0
77,3986182,0
78,4583781,0
79,5271270,0
