Step,Prey,Predator
0,67,30
1,73,22
2,84,4
3,94,4
4,104,0
5,119,0
6,135,0
7,151,0
8,181,0
9,206,0
10,228,0
11,266,0
12,298,0
13,340,0
14,401,0
15,464,0
16,534,0
17,600,0
18,684,0
19,777,0
20,887,0
21,1041,0
22,1201,0
23,1374,0
24,1588,0
25,1849,0
26,2111,0
27,2441,0
28,2769,0
29,3185,0
30,3627,0
31,4142,0
32,4740,0
33,5406,0
34,6237,0
35,7193,0
36,8320,0
37,9573,0
38,11027,0
39,12741,0
40,14673,0
41,16895,0
42,19483,0
43,22457,0
44,25714,0
45,29636,0
46,34091,0
47,39203,0
48,45109,0
49,51947,0
50,59786,0
51,68800,0
52,79058,0
53,90891,0
54,104479,0
55,120217,0
56,138276,0
57,158931,0
58,182720,0
59,210125,0
60,241497,0
61,277573,0
62,319057,0
63,366812,0
64,421910,0
65,485046,0
66,557734,0
67,641174,0
68,737335,0
69,847657,0
70,974795,0
71,1121105,0
72,1288431,0
73,1481674,0
74,1703665,0
75,1959161,0
76,2252784,0
77,2590939,0
78,2980341,0
79,3427873,0
