Step,Prey,Predator
0,94,20
1,106,14
2,113,1
3,124,1
4,137,1
5,145,0
6,158,0
7,170,0
8,187,0
9,201,0
10,224,0
11,242,0
12,266,0
13,292,0
14,322,0
15,356,0
16,394,0
17,441,0
18,488,0
19,529,0
20,579,0
21,642,0
22,702,0
23,763,0
24,830,0
25,914,0
26,1007,0
27,1097,0
28,1192,0
29,1314,0
30,1459,0
31,1600,0
32,1753,0
33,1927,0
34,2114,0
35,2329,0
36,2553,0
37,2783,0
38,3071,0
39,3395,0
40,3746,0
41,4114,0
42,4507,0
43,4974,0
44,5476,0
45,6052,0
46,6653,0
47,7363,0
48,8063,0
49,8861,0
50,9742,0
51,10715,0
52,11797,0
53,12959,0
54,14248,0
55,15687,0
56,17219,0
57,18940,0
58,20882,0
59,23044,0
60,25353,0
61,27823,0
62,30544,0
63,33567,0
64,36982,0
65,40582,0
66,44656,0
67,49122,0
68,53970,0
69,59306,0
70,65140,0
71,71614,0
72,78731,0
73,86477,0
74,95070,0
75,104670,0
76,115204,0
77,126669,0
78,139424,0
79,153409,0
