Step,Prey,Predator
0,85,20
1,93,15
2,101,2
3,112,2
4,116,2
5,124,2
6,135,3
7,147,2
8,158,2
9,169,1
10,185,1
11,205,1
12,236,0
13,258,0
14,281,0
15,310,0
16,344,0
17,374,0
18,407,0
19,447,0
20,497,0
21,548,0
22,612,0
23,668,0
24,729,0
25,810,0
26,876,0
27,977,0
28,1061,0
29,1176,0
30,1321,0
31,1443,0
32,1579,0
33,1734,0
34,1922,0
35,2102,0
36,2303,0
37,2528,0
38,2780,0
39,3049,0
40,3386,0
41,3718,0
42,4131,0
43,4539,0
44,4984,0
45,5478,0
46,6051,0
47,6694,0
48,7365,0
49,8068,0
50,8878,0
51,9722,0
52,10684,0
53,11723,0
54,12919,0
55,14203,0
56,15668,0
57,17185,0
58,18849,0
59,20733,0
60,22776,0
61,25072,0
62,27626,0
63,30431,0
64,33477,0
65,36780,0
66,40491,0
67,44445,0
68,48846,0
69,53820,0
70,59195,0
71,65175,0
72,71657,0
73,78771,0
74,86530,0
75,95171,0
76,104717,0
77,115264,0
78,126614,0
79,139486,0
