Step,Prey,Predator
0,84,20
1,92,10
2,96,3
3,106,3
4,115,2
5,123,2
6,131,1
7,136,0
8,156,0
9,166,0
10,178,0
11,192,0
12,202,0
13,218,0
14,235,0
15,250,0
16,275,0
17,306,0
18,328,0
19,363,0
20,393,0
21,439,0
22,470,0
23,510,0
24,554,0
25,596,0
26,635,0
27,696,0
28,749,0
29,803,0
30,862,0
31,923,0
32,995,0
33,1064,0
34,1142,0
35,1249,0
36,1334,0
37,1443,0
38,1547,0
39,1652,0
40,1777,0
41,1931,0
42,2056,0
43,2229,0
44,2404,0
45,2587,0
46,2779,0
47,3004,0
48,3222,0
49,3438,0
50,3674,0
51,3958,0
52,4291,0
53,4624,0
54,5017,0
55,5398,0
56,5872,0
57,6318,0
58,6831,0
59,7379,0
60,7978,0
61,8646,0
62,9357,0
63,10133,0
64,10990,0
65,11867,0
66,12776,0
67,13766,0
68,14750,0
69,15958,0
70,17219,0
71,18504,0
72,20028,0
73,21629,0
74,23328,0
75,25142,0
76,27025,0
77,29065,0
78,31320,0
79,33817,0
