Step,Prey,Predator
0,84,20
1,87,12
2,98,1
3,103,2
4,112,2
5,125,2
6,136,0
7,143,0
8,159,0
9,167,0
10,190,0
11,204,0
12,223,0
13,236,0
14,261,0
15,277,0
16,294,0
17,307,0
18,331,0
19,347,0
20,377,0
21,413,0
22,443,0
23,480,0
24,521,0
25,569,0
26,596,0
27,640,0
28,679,0
29,734,0
30,796,0
31,851,0
32,907,0
33,953,0
34,1023,0
35,1098,0
36,1179,0
37,1302,0
38,1412,0
39,1536,0
40,1680,0
41,1822,0
42,1948,0
43,2111,0
44,2282,0
45,2454,0
46,2640,0
47,2865,0
48,3061,0
49,3297,0
50,3564,0
51,3835,0
52,4124,0
53,4442,0
54,4771,0
55,5178,0
56,5573,0
57,6066,0
58,6606,0
59,7108,0
60,7575,0
61,8143,0
62,8810,0
63,9522,0
64,10287,0
65,11065,0
66,11892,0
67,12768,0
68,13770,0
69,14894,0
70,16081,0
71,17384,0
72,18703,0
73,20276,0
74,21878,0
75,23627,0
76,25519,0
77,27494,0
78,29631,0
79,31914,0
